brand,model,release_year,age_years,ram_gb,storage_gb,original_price,condition,fair_price
Apple,iPhone 13,2020,4,8,64,15055,Good,13994
Samsung,Galaxy A34,2021,3,4,128,31493,Fair,17877
Oppo,A78,2022,2,12,512,31940,Excellent,45742
Vivo,V25,2022,2,6,256,34622,Good,25931
Vivo,Y56,2019,5,8,64,15486,Fair,12182
Samsung,Galaxy S22,2023,1,16,64,43225,Fair,31800
Apple,iPhone 12,2019,5,6,512,57487,Excellent,41313
Samsung,Galaxy M34,2020,4,16,256,72175,Poor,32569
Xiaomi,Redmi Note 12,2022,2,8,64,62078,Good,30931
Oppo,Reno 8,2022,2,8,64,86492,Good,35215
Samsung,Galaxy A34,2019,5,8,64,43549,Good,17766
OnePlus,OnePlus 11R,2019,5,4,256,99667,Excellent,27524
Samsung,Galaxy M34,2020,4,12,512,75148,Fair,46467
Google,Pixel 7,2022,2,12,128,60771,Good,37472
Apple,iPhone SE,2023,1,6,128,49470,Good,34141
Samsung,Galaxy A34,2022,2,16,512,108321,Fair,74151
Vivo,V27,2020,4,16,128,43341,Excellent,28304
Oppo,Reno 8,2022,2,16,256,96552,Good,50272
Xiaomi,Mi 11 Lite,2020,4,8,64,115474,Fair,26651
Samsung,Galaxy S22,2023,1,16,256,50524,Excellent,48140
Xiaomi,Mi 11 Lite,2019,5,6,64,18203,Good,11931
Xiaomi,Redmi Note 12,2022,2,6,128,62965,Fair,24260
Vivo,V25,2020,4,12,64,24972,Good,20443
Realme,Realme 11,2022,2,6,128,61404,Excellent,32150
Xiaomi,Poco F5,2023,1,8,512,25131,Poor,34950
Apple,iPhone 13,2020,4,4,128,102154,Fair,25727
Oppo,A58,2022,2,6,256,25095,Good,26624
Xiaomi,Redmi Note 12,2023,1,8,512,71733,Poor,45726
Realme,Realme 10,2019,5,8,256,78001,Good,26704
Realme,Realme 11,2019,5,6,128,49959,Excellent,17526
Samsung,Galaxy M34,2023,1,6,512,19922,Good,36890
Google,Pixel 6a,2020,4,12,64,107264,Excellent,37464
OnePlus,OnePlus 11,2020,4,8,128,116925,Excellent,39369
Xiaomi,Redmi 12,2021,3,16,64,29274,Good,27185
Vivo,V25,2019,5,6,512,108311,Good,42005
Oppo,A78,2022,2,8,256,65411,Excellent,40476
Samsung,Galaxy A54,2019,5,16,512,55612,Excellent,53603
Oppo,A78,2022,2,12,256,66883,Good,42300
OnePlus,OnePlus Nord CE 3,2021,3,16,512,19947,Fair,45335
Oppo,Reno 8,2022,2,12,64,64228,Fair,30764
Apple,iPhone SE,2022,2,6,256,111343,Poor,37319
Apple,iPhone 11,2023,1,6,128,90133,Good,55498
Samsung,Galaxy M34,2022,2,4,64,25391,Excellent,16222
Xiaomi,Redmi 12,2019,5,8,512,85658,Good,45203
Vivo,T2,2023,1,4,256,48725,Poor,24406
Samsung,Galaxy A54,2022,2,6,256,83187,Excellent,54931
Samsung,Galaxy M34,2022,2,6,128,45783,Excellent,29820
Vivo,Y100,2021,3,16,256,49493,Fair,38971
Samsung,Galaxy A54,2020,4,12,64,47583,Good,23028
Samsung,Galaxy M34,2023,1,4,512,113575,Good,78739
Oppo,Reno 8,2021,3,12,128,62598,Good,34447
Samsung,Galaxy S23,2021,3,4,256,49416,Good,30274
Google,Pixel 7,2021,3,16,256,27363,Good,34320
Samsung,Galaxy S22,2019,5,6,128,104110,Good,26015
Samsung,Galaxy M34,2022,2,8,256,88535,Fair,42921
Samsung,Galaxy S22,2021,3,4,64,69951,Good,22611
OnePlus,OnePlus Nord 3,2022,2,4,512,43067,Excellent,46792
OnePlus,OnePlus Nord CE 3,2019,5,16,512,72745,Poor,41765
Realme,Realme GT 2,2019,5,12,64,20912,Good,15577
Apple,iPhone 14,2021,3,12,512,85320,Fair,52260
Xiaomi,Redmi Note 11,2023,1,4,256,39722,Good,29910
Apple,iPhone 14,2020,4,4,128,30704,Poor,13401
OnePlus,OnePlus Nord CE 3,2023,1,8,512,47161,Good,53413
Realme,Realme 11,2022,2,12,128,80908,Good,37917
Google,Pixel 7 Pro,2019,5,4,128,76264,Excellent,20781
OnePlus,OnePlus 11,2023,1,12,128,16403,Excellent,25544
Xiaomi,Poco F5,2020,4,4,256,116307,Good,36733
Samsung,Galaxy S23,2022,2,6,256,63356,Fair,31189
Vivo,V27,2022,2,16,128,54851,Poor,27501
Realme,Realme Narzo 60,2020,4,4,128,22689,Fair,12901
Vivo,Y56,2021,3,6,256,116838,Excellent,52501
OnePlus,OnePlus Nord CE 3,2019,5,6,64,96686,Poor,12527
OnePlus,OnePlus Nord 3,2021,3,6,128,16245,Fair,13782
Samsung,Galaxy S22,2021,3,6,256,17801,Good,24051
Realme,Realme Narzo 60,2020,4,8,64,15364,Good,14056
Oppo,F21 Pro,2021,3,8,64,75180,Fair,22494
Google,Pixel 7,2021,3,16,64,80888,Good,42160
OnePlus,OnePlus 11,2023,1,6,512,42213,Good,43938
Vivo,Y100,2019,5,16,512,15865,Excellent,46675
Oppo,A78,2019,5,8,64,43343,Excellent,17241
Apple,iPhone SE,2023,1,8,512,73418,Good,69349
Xiaomi,Redmi 12,2023,1,12,128,107535,Good,52942
Oppo,Reno 8,2022,2,12,64,118996,Good,47547
Samsung,Galaxy A54,2020,4,4,64,70728,Good,21736
Xiaomi,Redmi Note 12,2020,4,4,64,87943,Fair,17901
Samsung,Galaxy M34,2021,3,6,256,76358,Excellent,42473
Vivo,V27,2019,5,8,128,24476,Good,16472
Realme,Realme GT 2,2020,4,6,64,97215,Fair,22041
Xiaomi,Poco F5,2023,1,4,64,107403,Excellent,51516
Realme,Realme 10,2023,1,8,512,15364,Poor,34190
Oppo,Reno 8,2020,4,12,64,57029,Good,24393
Samsung,Galaxy M34,2022,2,6,64,34642,Good,20125
Xiaomi,Redmi 12,2019,5,6,512,65893,Poor,31936
Apple,iPhone 12,2023,1,8,256,50774,Good,40380
OnePlus,OnePlus 11R,2019,5,4,256,111213,Good,27062
Samsung,Galaxy A34,2020,4,16,64,39714,Good,28103
Vivo,Y56,2023,1,8,128,86667,Good,41879
Oppo,F21 Pro,2022,2,6,512,67137,Good,53673
Vivo,Y56,2022,2,16,64,72920,Good,39657
Apple,iPhone SE,2021,3,12,64,49600,Good,29649
Google,Pixel 7,2019,5,12,64,65903,Excellent,23109
Samsung,Galaxy S23,2020,4,6,256,66248,Good,29925
Apple,iPhone 13,2019,5,4,512,90117,Good,44519
OnePlus,OnePlus Nord CE 3,2022,2,6,256,28866,Good,28224
Apple,iPhone SE,2020,4,4,512,37666,Good,34188
Oppo,F21 Pro,2019,5,4,128,118627,Good,21888
Oppo,A78,2021,3,6,64,109905,Good,30138
Realme,Realme GT 2,2019,5,8,64,27002,Good,13424
Apple,iPhone 11,2021,3,12,256,88374,Excellent,56009
Vivo,V27,2023,1,8,128,16509,Good,20694
Xiaomi,Poco F5,2023,1,4,256,93467,Excellent,60262
Samsung,Galaxy A34,2021,3,6,64,34116,Fair,16416
Realme,Realme GT 2,2022,2,4,512,112123,Good,56531
Google,Pixel 6a,2023,1,16,64,105570,Excellent,78897
Apple,iPhone 13,2022,2,8,128,89921,Good,44897
Google,Pixel 7 Pro,2022,2,16,256,117406,Excellent,77032
Google,Pixel 6a,2020,4,16,256,118169,Good,50032
Samsung,Galaxy A54,2019,5,16,512,89877,Good,52445
Oppo,A78,2021,3,4,256,55409,Good,27250
Apple,iPhone 14,2022,2,16,256,89723,Good,61406
Google,Pixel 7 Pro,2019,5,4,256,106225,Good,28888
Samsung,Galaxy M34,2021,3,16,512,57321,Fair,50516
Samsung,Galaxy A34,2020,4,16,512,29260,Excellent,48677
Realme,Realme 11,2022,2,8,128,47430,Fair,25349
Samsung,Galaxy A54,2023,1,6,256,42115,Fair,31457
Xiaomi,Redmi Note 11,2019,5,4,512,89716,Good,35088
Vivo,V25,2021,3,4,128,19482,Fair,14324
OnePlus,OnePlus 11R,2023,1,8,256,27500,Fair,27582
Vivo,T2,2019,5,16,256,65934,Good,34557
Oppo,A78,2019,5,4,64,55077,Poor,9789
Vivo,V27,2022,2,8,128,114750,Good,48634
Vivo,V27,2019,5,16,512,53985,Good,42252
Xiaomi,Redmi 12,2022,2,6,64,67635,Excellent,33307
Oppo,Reno 8,2020,4,4,512,110812,Poor,40462
Realme,Realme GT 2,2023,1,16,256,119733,Good,64556
Oppo,Reno 8,2023,1,4,512,39188,Good,42956
Apple,iPhone SE,2019,5,4,64,22973,Good,11095
OnePlus,OnePlus 11,2020,4,4,64,103263,Fair,21533
Realme,Realme GT 2,2020,4,6,128,64950,Good,21356
Apple,iPhone 14,2021,3,12,256,61728,Good,46352
Apple,iPhone SE,2021,3,6,64,119177,Good,44500
Realme,Realme GT 2,2023,1,8,64,30150,Excellent,23295
Google,Pixel 6,2023,1,12,512,105921,Fair,68399
Samsung,Galaxy S22,2021,3,12,128,117120,Excellent,49534
OnePlus,OnePlus 11R,2022,2,12,256,58094,Poor,31534
OnePlus,OnePlus Nord CE 3,2019,5,16,64,81168,Excellent,28985
Vivo,V25,2021,3,16,512,42206,Fair,48566
OnePlus,OnePlus 11,2019,5,12,128,34937,Good,21990
Vivo,V27,2020,4,12,256,59891,Fair,34652
OnePlus,OnePlus 11R,2021,3,16,128,26528,Good,29245
OnePlus,OnePlus 11R,2023,1,6,64,65298,Good,30502
Samsung,Galaxy M34,2021,3,6,64,30185,Fair,15942
Google,Pixel 7 Pro,2020,4,4,128,45020,Good,17936
Apple,iPhone SE,2019,5,6,64,77694,Excellent,22170
Vivo,V27,2021,3,16,256,17597,Good,29571
Oppo,Reno 7,2019,5,16,512,111090,Good,56217
Oppo,Reno 7,2019,5,8,256,44048,Good,24456
Samsung,Galaxy S23,2020,4,6,64,55794,Good,19754
Apple,iPhone 12,2023,1,8,256,106110,Good,69370
Realme,Realme Narzo 60,2020,4,4,64,92583,Excellent,24255
Oppo,A58,2019,5,12,64,55136,Good,21723
Apple,iPhone SE,2021,3,8,64,98591,Fair,34556
OnePlus,OnePlus 11R,2023,1,16,64,37394,Fair,30035
Realme,Realme 11,2023,1,4,128,92061,Good,42086
Apple,iPhone 13,2023,1,16,64,100279,Good,68387
Xiaomi,Redmi 12,2022,2,6,128,89142,Good,35204
Samsung,Galaxy A54,2021,3,12,256,73382,Good,39655
Realme,Realme 10,2021,3,8,64,65624,Good,26481
Realme,Realme Narzo 60,2021,3,12,256,101158,Excellent,51113
Oppo,F21 Pro,2022,2,4,512,114404,Poor,46222
Xiaomi,Mi 11 Lite,2022,2,8,256,52763,Good,31795
Samsung,Galaxy M34,2023,1,12,128,46541,Good,33162
Realme,Realme Narzo 60,2020,4,6,64,35156,Poor,11858
Xiaomi,Redmi Note 12,2023,1,6,512,49341,Excellent,50950
Realme,Realme Narzo 60,2021,3,12,512,95981,Excellent,56655
Apple,iPhone 13,2023,1,16,128,28882,Fair,32734
Google,Pixel 6,2022,2,16,512,110193,Fair,77433
Apple,iPhone 14,2020,4,4,512,16212,Good,34042
Samsung,Galaxy A34,2019,5,12,64,40854,Good,18843
Oppo,Reno 8,2023,1,6,128,48359,Good,26086
Realme,Realme Narzo 60,2022,2,16,64,34142,Good,27280
Realme,Realme Narzo 60,2019,5,16,256,35566,Good,33614
Samsung,Galaxy M34,2023,1,6,256,84110,Fair,44967
Vivo,T2,2023,1,16,128,23007,Good,30858
Realme,Realme GT 2,2021,3,16,64,44204,Good,28962
OnePlus,OnePlus 11R,2022,2,6,256,109042,Fair,37534
Vivo,V27,2022,2,4,512,35478,Excellent,45559
Oppo,Reno 7,2023,1,16,256,49651,Good,45317
Xiaomi,Poco F5,2020,4,4,256,55818,Excellent,27140
Google,Pixel 7 Pro,2023,1,8,512,73241,Poor,51472
Xiaomi,Redmi 12,2019,5,6,256,56833,Good,26068
OnePlus,OnePlus 11,2021,3,16,512,90587,Excellent,61590
Apple,iPhone 11,2023,1,4,256,87420,Poor,36978
Vivo,V27,2021,3,6,64,59706,Excellent,25862
Oppo,A78,2020,4,16,512,79680,Good,56169
Realme,Realme GT 2,2021,3,8,64,44377,Good,20337
Google,Pixel 7,2021,3,8,256,32273,Good,26593
Google,Pixel 6,2019,5,12,512,70659,Excellent,46712
Realme,Realme 11,2020,4,8,256,51135,Fair,27127
Vivo,Y56,2020,4,12,128,38555,Good,24004
Apple,iPhone 12,2020,4,4,512,16115,Good,32913
Xiaomi,Poco F5,2020,4,16,512,85461,Excellent,58049
Realme,Realme Narzo 60,2022,2,16,128,58554,Fair,36126
Samsung,Galaxy A34,2023,1,12,256,89034,Fair,53944
Realme,Realme GT 2,2019,5,8,64,62703,Good,18390
OnePlus,OnePlus 11,2021,3,8,256,114854,Excellent,46033
Google,Pixel 7,2023,1,6,256,87108,Excellent,62099
Samsung,Galaxy A34,2022,2,8,64,82619,Good,34556
Oppo,Reno 8,2022,2,12,64,49262,Good,27715
Vivo,V27,2021,3,16,64,113748,Good,43384
Realme,Realme GT 2,2020,4,4,64,59464,Excellent,20122
Oppo,Reno 7,2020,4,8,64,83259,Excellent,24896
Realme,Realme GT 2,2021,3,6,256,16883,Poor,19423
Vivo,Y100,2023,1,12,256,85467,Fair,43132
Realme,Realme 11,2023,1,6,256,98609,Good,47209
Oppo,A78,2021,3,6,256,22942,Excellent,26953
Oppo,Reno 8,2020,4,16,256,49229,Good,34371
Xiaomi,Poco F5,2022,2,6,64,87894,Fair,26538
Google,Pixel 7,2019,5,16,512,21922,Good,40878
Apple,iPhone 12,2021,3,12,256,104336,Fair,50002
Apple,iPhone 13,2021,3,16,64,117391,Good,51335
Google,Pixel 6,2023,1,6,512,48690,Excellent,58382
Samsung,Galaxy M34,2022,2,8,512,61069,Good,50933
Vivo,V25,2022,2,16,128,38241,Good,31765
Apple,iPhone SE,2019,5,12,256,80453,Good,31808
Oppo,A78,2022,2,6,256,63888,Excellent,42637
Vivo,T2,2020,4,6,256,113315,Excellent,40207
Apple,iPhone 13,2020,4,8,512,86200,Excellent,57977
Xiaomi,Redmi Note 12,2022,2,8,128,114064,Excellent,54896
Realme,Realme GT 2,2023,1,12,64,53725,Excellent,38179
Vivo,Y100,2022,2,12,512,80149,Good,64691
Google,Pixel 7,2020,4,8,256,119496,Fair,36473
Realme,Realme 10,2021,3,6,64,106713,Good,34228
Vivo,V25,2020,4,12,256,53665,Good,33079
Realme,Realme Narzo 60,2019,5,12,64,20745,Excellent,18337
Google,Pixel 7 Pro,2019,5,6,512,118157,Fair,42193
Vivo,Y56,2020,4,8,512,91764,Poor,39477
OnePlus,OnePlus Nord 3,2019,5,12,256,28273,Poor,25492
Google,Pixel 7 Pro,2022,2,12,256,102945,Excellent,67966
Apple,iPhone 13,2023,1,6,128,77457,Good,51054
Samsung,Galaxy A34,2021,3,6,256,86240,Good,37730
Samsung,Galaxy S22,2023,1,16,256,29440,Excellent,41427
Vivo,Y56,2021,3,6,64,77524,Excellent,29786
OnePlus,OnePlus Nord 3,2023,1,16,512,28311,Excellent,51137
Oppo,Reno 8,2023,1,8,128,36711,Excellent,30573
Xiaomi,Redmi 12,2019,5,16,128,70486,Good,30918
Realme,Realme 11,2021,3,8,128,59028,Excellent,32355
Google,Pixel 6,2021,3,12,256,25057,Fair,27727
Vivo,T2,2023,1,8,128,71792,Good,38053
Realme,Realme 10,2021,3,8,64,15442,Good,14950
Apple,iPhone 12,2022,2,4,128,81567,Excellent,43506
Google,Pixel 7,2019,5,8,256,24308,Poor,21231
Samsung,Galaxy S23,2023,1,16,128,83475,Good,58767
Samsung,Galaxy S22,2023,1,6,128,106865,Good,51760
Google,Pixel 7,2023,1,8,512,36381,Excellent,56648
Oppo,A58,2020,4,16,128,106501,Good,42500
Samsung,Galaxy S22,2020,4,12,256,88527,Poor,34803
OnePlus,OnePlus 11R,2022,2,6,512,83306,Good,52115
Apple,iPhone SE,2020,4,16,128,116126,Good,45081
Apple,iPhone 12,2019,5,6,256,53138,Fair,23744
OnePlus,OnePlus 11,2023,1,4,64,25844,Excellent,17541
Oppo,A78,2023,1,12,128,54697,Excellent,39316
Google,Pixel 6,2020,4,16,128,29901,Good,27439
Oppo,A58,2021,3,8,512,88686,Poor,46435
Apple,iPhone 13,2022,2,12,64,108337,Excellent,59664
Realme,Realme 11,2023,1,8,128,85283,Excellent,52313
Realme,Realme 10,2022,2,12,64,75719,Fair,28381
Apple,iPhone 12,2023,1,6,64,73031,Excellent,44365
Samsung,Galaxy S23,2023,1,4,128,85572,Good,39364
Xiaomi,Redmi 12,2021,3,8,64,103779,Poor,22214
OnePlus,OnePlus 11,2023,1,6,512,26825,Fair,35313
Oppo,A58,2022,2,12,128,95738,Poor,31670
Apple,iPhone 14,2023,1,6,64,21333,Fair,15514
OnePlus,OnePlus 11R,2022,2,8,256,22887,Good,27094
Apple,iPhone 12,2020,4,6,64,117201,Good,32877
Realme,Realme Narzo 60,2019,5,8,128,49283,Excellent,18710
Samsung,Galaxy S23,2023,1,16,256,43084,Excellent,53283
OnePlus,OnePlus Nord CE 3,2023,1,16,64,66369,Fair,35852
Google,Pixel 6,2021,3,4,128,95212,Fair,31969
OnePlus,OnePlus 11R,2021,3,6,64,97336,Fair,26832
OnePlus,OnePlus Nord CE 3,2020,4,12,64,81957,Poor,22511
Apple,iPhone 14,2022,2,8,256,23744,Good,26802
Samsung,Galaxy S23,2019,5,12,512,21277,Good,41652
OnePlus,OnePlus Nord 3,2019,5,12,64,56542,Excellent,20473
OnePlus,OnePlus 11,2019,5,6,256,49033,Good,22027
Xiaomi,Poco F5,2021,3,6,64,114372,Good,30809
Samsung,Galaxy A34,2022,2,12,512,61156,Good,52400
Realme,Realme 11,2021,3,8,512,23562,Fair,39018
Vivo,T2,2023,1,16,64,78925,Poor,31796
Apple,iPhone SE,2022,2,16,64,40105,Good,32986
Samsung,Galaxy A34,2021,3,12,256,62650,Good,37511
OnePlus,OnePlus 11,2022,2,8,512,67136,Excellent,56964
Vivo,Y100,2020,4,8,128,27771,Good,19473
Oppo,Reno 8,2023,1,8,64,90783,Good,41271
OnePlus,OnePlus Nord 3,2023,1,8,512,54551,Fair,49118
Realme,Realme 10,2021,3,16,64,18688,Good,22094
OnePlus,OnePlus Nord 3,2019,5,4,512,113385,Good,37524
Realme,Realme Narzo 60,2023,1,4,512,57039,Fair,41477
Google,Pixel 7,2023,1,16,256,50367,Good,52686
Xiaomi,Redmi Note 11,2023,1,8,256,54759,Poor,26818
OnePlus,OnePlus Nord 3,2022,2,12,64,55639,Fair,27985
Apple,iPhone 14,2020,4,16,256,74694,Good,44247
OnePlus,OnePlus 11R,2022,2,16,256,84803,Excellent,60319
Samsung,Galaxy S22,2022,2,12,512,71892,Excellent,65369
Oppo,A78,2019,5,12,128,21487,Good,19142
Samsung,Galaxy A54,2022,2,8,256,98038,Good,56938
Oppo,A78,2021,3,16,64,108556,Good,46463
Samsung,Galaxy M34,2021,3,6,256,83535,Fair,31730
OnePlus,OnePlus Nord CE 3,2023,1,4,64,103913,Good,40451
Oppo,A78,2022,2,16,64,77085,Excellent,44988
Google,Pixel 7,2021,3,12,64,113206,Good,49822
Realme,Realme 11,2021,3,4,256,23484,Good,21068
Oppo,Reno 7,2023,1,12,128,25315,Good,28490
Vivo,T2,2022,2,12,256,116293,Fair,45436
Google,Pixel 7 Pro,2023,1,16,256,82965,Excellent,66376
Apple,iPhone 11,2020,4,12,256,28782,Fair,27467
Realme,Realme 11,2023,1,4,512,109003,Good,66287
Apple,iPhone 11,2023,1,16,256,38259,Good,44684
OnePlus,OnePlus 11,2020,4,8,128,45868,Good,20817
OnePlus,OnePlus 11R,2019,5,12,512,80049,Excellent,45437
OnePlus,OnePlus Nord CE 3,2019,5,4,256,85966,Fair,24469
Oppo,A78,2021,3,12,256,97533,Good,49444
Xiaomi,Redmi Note 11,2021,3,8,64,40792,Good,20031
Xiaomi,Redmi 12,2023,1,6,256,108449,Fair,46340
Vivo,T2,2019,5,4,128,89387,Good,18462
Oppo,Reno 8,2020,4,6,256,105045,Good,38572
Apple,iPhone 12,2023,1,16,64,60440,Fair,40404
Xiaomi,Poco F5,2020,4,12,512,97015,Good,56555
Realme,Realme GT 2,2021,3,6,128,39028,Excellent,22291
Vivo,T2,2021,3,8,256,114721,Good,48923
Apple,iPhone 12,2023,1,16,512,102052,Good,86644
Google,Pixel 7,2019,5,12,128,109859,Good,33492
Apple,iPhone 11,2022,2,6,128,16816,Good,18658
Realme,Realme 10,2020,4,16,128,48826,Poor,23366
Oppo,Reno 7,2021,3,6,256,53428,Excellent,31274
Vivo,T2,2022,2,6,128,97094,Good,36682
Realme,Realme Narzo 60,2020,4,8,512,30003,Good,41376
Oppo,A58,2021,3,8,512,81446,Good,52975
Xiaomi,Mi 11 Lite,2023,1,6,64,59331,Excellent,35349
Apple,iPhone 12,2022,2,6,128,84072,Good,39245
Google,Pixel 6,2022,2,8,64,73715,Good,37282
Vivo,V27,2019,5,12,64,16626,Fair,17019
Xiaomi,Redmi Note 11,2020,4,12,512,24465,Fair,42503
Xiaomi,Redmi Note 12,2022,2,16,512,94012,Poor,56905
Google,Pixel 7,2020,4,12,64,41909,Fair,22450
Samsung,Galaxy S23,2022,2,6,512,27300,Excellent,44893
Google,Pixel 6,2022,2,4,256,93413,Good,44588
Google,Pixel 7,2023,1,12,256,103365,Good,61598
Xiaomi,Mi 11 Lite,2019,5,12,512,94810,Good,50887
Xiaomi,Redmi 12,2022,2,16,512,70248,Excellent,71173
Apple,iPhone 12,2022,2,4,128,118727,Fair,40270
Vivo,Y100,2019,5,12,128,94082,Fair,26942
Oppo,A58,2019,5,4,256,104300,Fair,24575
Vivo,Y100,2023,1,6,64,89312,Good,40914
Realme,Realme 10,2022,2,12,128,63692,Good,36263
Google,Pixel 7 Pro,2023,1,6,256,100982,Excellent,72665
Oppo,Reno 8,2020,4,12,512,78087,Excellent,52596
Apple,iPhone 14,2020,4,16,64,34154,Good,25457
Realme,Realme 10,2022,2,16,64,68031,Excellent,43459
Realme,Realme GT 2,2021,3,12,64,69816,Fair,27180
OnePlus,OnePlus 11,2021,3,16,512,41325,Good,55187
Realme,Realme 10,2020,4,8,512,42452,Good,38308
Google,Pixel 7 Pro,2022,2,8,128,17365,Fair,19590
Google,Pixel 7 Pro,2023,1,16,512,16949,Fair,45614
Oppo,F21 Pro,2022,2,16,64,16919,Excellent,23319
Apple,iPhone 13,2019,5,16,128,52924,Good,29260
Samsung,Galaxy S23,2022,2,16,256,88150,Good,58263
Realme,Realme Narzo 60,2020,4,6,512,77509,Good,39433
Vivo,Y56,2021,3,12,64,72500,Good,33316
Oppo,Reno 7,2020,4,16,256,108433,Excellent,45598
Apple,iPhone SE,2019,5,16,128,45552,Excellent,28617
Google,Pixel 6,2020,4,12,64,30619,Excellent,21522
Apple,iPhone 12,2022,2,12,64,36182,Good,28816
Realme,Realme 11,2022,2,4,128,88356,Good,31210
Apple,iPhone 12,2021,3,16,512,58147,Good,63894
Apple,iPhone 13,2019,5,4,64,97399,Good,20795
OnePlus,OnePlus Nord CE 3,2019,5,8,64,49840,Fair,13914
Samsung,Galaxy S22,2019,5,12,256,66083,Good,33784
Vivo,V25,2022,2,16,512,78079,Good,66134
OnePlus,OnePlus Nord CE 3,2019,5,8,128,18093,Fair,15020
Xiaomi,Redmi Note 11,2023,1,12,128,119531,Good,56847
Realme,Realme GT 2,2020,4,16,64,106715,Excellent,40181
Google,Pixel 6a,2020,4,12,256,19830,Good,29553
Oppo,Reno 8,2019,5,16,64,79648,Fair,25532
Xiaomi,Redmi Note 12,2022,2,16,256,82904,Good,49018
Samsung,Galaxy S23,2022,2,12,512,37485,Good,48276
Oppo,A78,2019,5,4,512,98529,Good,35375
OnePlus,OnePlus 11,2021,3,12,512,110025,Good,60694
Oppo,A78,2023,1,12,256,29235,Good,34594
Oppo,A58,2019,5,16,512,110711,Poor,46818
Oppo,Reno 8,2019,5,6,128,64648,Good,17437
Oppo,Reno 8,2019,5,4,256,52132,Excellent,24303
Vivo,V27,2021,3,6,256,32883,Good,24848
Apple,iPhone 12,2019,5,6,512,70031,Excellent,47059
Oppo,F21 Pro,2022,2,6,128,48525,Good,23194
Apple,iPhone SE,2020,4,4,128,15908,Good,15037
Vivo,Y56,2020,4,6,512,64323,Good,41549
Oppo,Reno 7,2022,2,6,128,58271,Fair,24869
Apple,iPhone 14,2023,1,6,512,114173,Fair,67540
Xiaomi,Redmi Note 11,2022,2,6,128,114468,Poor,26096
Realme,Realme 10,2019,5,8,64,87356,Excellent,22377
Google,Pixel 7 Pro,2020,4,12,256,61798,Fair,32056
Realme,Realme 10,2023,1,6,256,79814,Good,41983
Oppo,A58,2022,2,8,64,63791,Good,26159
Vivo,V25,2023,1,4,512,104144,Excellent,78385
OnePlus,OnePlus Nord 3,2022,2,8,256,51649,Excellent,37016
Google,Pixel 7,2023,1,4,128,115932,Good,55699
Apple,iPhone SE,2022,2,8,512,115672,Good,76651
OnePlus,OnePlus 11,2021,3,12,256,18841,Good,28426
Realme,Realme 11,2019,5,16,256,77601,Good,37742
Realme,Realme GT 2,2019,5,4,512,43804,Good,35085
Apple,iPhone 11,2019,5,8,128,65870,Good,22877
Apple,iPhone 11,2020,4,6,128,19676,Excellent,16287
Vivo,T2,2019,5,16,64,105945,Fair,25437
Apple,iPhone 13,2022,2,4,512,40772,Good,45828
Realme,Realme 11,2019,5,4,512,57145,Poor,33059
Xiaomi,Redmi Note 12,2022,2,8,64,102081,Fair,30497
Samsung,Galaxy M34,2023,1,12,256,119429,Fair,54681
Xiaomi,Redmi Note 12,2023,1,12,256,90481,Good,59557
Oppo,A78,2019,5,4,256,32256,Excellent,21398
Apple,iPhone 14,2021,3,16,64,51776,Poor,27670
Realme,Realme GT 2,2022,2,12,128,34739,Good,26244
Google,Pixel 6,2022,2,8,128,35448,Good,28493
OnePlus,OnePlus Nord 3,2021,3,4,64,59653,Good,20743
Xiaomi,Poco F5,2022,2,16,128,38016,Fair,27367
Xiaomi,Poco F5,2021,3,8,128,72771,Excellent,34211
Samsung,Galaxy M34,2022,2,8,256,71234,Good,46882
OnePlus,OnePlus 11,2019,5,4,128,84715,Poor,14081
Apple,iPhone 12,2022,2,8,512,30739,Excellent,46560
Apple,iPhone SE,2021,3,12,64,63621,Poor,23546
Vivo,Y56,2023,1,4,256,43391,Good,32537
Realme,Realme GT 2,2023,1,8,128,51051,Good,34390
Google,Pixel 6a,2022,2,16,256,66458,Good,48170
Samsung,Galaxy A54,2021,3,16,64,104407,Good,42786
Google,Pixel 7,2023,1,4,512,17019,Good,35023
OnePlus,OnePlus Nord 3,2023,1,12,128,31740,Fair,24311
Apple,iPhone 14,2022,2,16,128,102043,Fair,49994
OnePlus,OnePlus Nord 3,2023,1,16,128,24470,Good,30908
Realme,Realme 10,2019,5,16,64,64477,Fair,26167
OnePlus,OnePlus 11R,2022,2,4,256,72492,Fair,32056
Oppo,F21 Pro,2020,4,12,128,15528,Good,19859
Oppo,A78,2019,5,4,128,89420,Good,20211
Google,Pixel 7 Pro,2023,1,8,512,37161,Good,48987
Oppo,F21 Pro,2021,3,8,128,56552,Poor,21372
Apple,iPhone 14,2021,3,8,64,43287,Good,22218
Google,Pixel 6,2023,1,6,128,21765,Good,22249
Xiaomi,Redmi Note 12,2019,5,8,128,49986,Good,20737
Samsung,Galaxy M34,2021,3,8,128,81151,Fair,28230
OnePlus,OnePlus 11R,2020,4,4,512,105810,Excellent,53452
Samsung,Galaxy S22,2021,3,8,64,47596,Excellent,24746
Xiaomi,Redmi 12,2020,4,16,512,119553,Good,63633
Google,Pixel 6a,2023,1,12,512,90726,Good,78131
Vivo,T2,2020,4,16,512,15048,Excellent,48817
Realme,Realme 11,2020,4,12,256,55647,Fair,32515
Apple,iPhone SE,2023,1,16,256,23888,Fair,36021
Samsung,Galaxy A54,2019,5,12,512,88903,Good,44662
