brand,processor,ram_gb,storage_gb,storage_type,gpu,screen_size,release_year,age_years,condition,original_price,fair_price
Asus,i5,64,2048,SSD,M2 GPU,13.0,2021,3,Good,179809,37423
Acer,M2,8,1024,HDD,M2 GPU,17.0,2019,5,Good,139057,17850
Dell,i7,32,1024,SSD,M1 GPU,15.6,2023,1,Good,128968,41100
Acer,M1,8,2048,HDD,M1 GPU,13.0,2019,5,Good,103801,14169
MSI,i3,64,1024,HDD,GTX 1650,16.0,2018,6,Good,118687,11575
Acer,Ryzen 5,8,256,HDD,M2 GPU,16.0,2021,3,Good,81955,15725
HP,M2,32,512,HDD,M1 GPU,14.0,2021,3,Excellent,139027,35593
Acer,M2,16,256,HDD,Integrated,14.0,2021,3,Poor,112261,11212
Apple,Ryzen 5,64,512,SSD,RTX 4070,13.0,2019,5,Good,151737,25471
Lenovo,i9,32,512,SSD,GTX 1650,14.0,2020,4,Good,133181,23709
Apple,i5,16,1024,SSD,M1 GPU,13.0,2022,2,Excellent,90265,37243
Apple,i3,32,512,SSD,GTX 1650,17.0,2021,3,Good,82562,25326
MSI,Ryzen 9,64,512,SSD,M1 GPU,15.6,2018,6,Poor,168932,8306
Acer,Ryzen 5,64,1024,SSD,RTX 4070,15.6,2020,4,Excellent,188183,37889
Apple,Ryzen 9,64,256,SSD,RTX 4070,14.0,2023,1,Good,182894,70019
Apple,M1,32,256,SSD,GTX 1650,13.0,2022,2,Excellent,109067,46181
Lenovo,M2,64,1024,HDD,RTX 3060,16.0,2018,6,Good,181615,19718
Dell,i5,32,1024,SSD,M1 GPU,17.0,2019,5,Good,101723,15236
Apple,i5,8,2048,SSD,RTX 4070,13.0,2022,2,Fair,122170,28911
Asus,Ryzen 5,16,256,HDD,M1 GPU,17.0,2019,5,Good,68173,9768
Asus,Ryzen 9,16,1024,SSD,M1 GPU,13.0,2018,6,Good,133402,12929
Dell,i3,32,256,SSD,GTX 1650,14.0,2021,3,Good,85054,19397
Dell,i9,32,512,SSD,M2 GPU,15.6,2018,6,Fair,132035,10487
Asus,i3,16,256,SSD,M2 GPU,17.0,2021,3,Good,77699,17437
Asus,Ryzen 9,8,512,SSD,RTX 3060,13.0,2023,1,Good,113000,37727
Acer,M1,64,256,SSD,RTX 3050,13.0,2020,4,Fair,171964,19030
HP,Ryzen 7,16,256,SSD,Integrated,17.0,2019,5,Good,71248,8797
Lenovo,i7,32,256,HDD,M2 GPU,16.0,2021,3,Poor,124877,12847
Asus,M2,32,2048,SSD,Integrated,13.0,2019,5,Excellent,142195,25268
Apple,Ryzen 9,32,1024,HDD,RTX 4070,17.0,2023,1,Good,168634,67420
Dell,M1,32,2048,SSD,RTX 4070,15.6,2019,5,Poor,193831,12059
Acer,i5,32,1024,SSD,RTX 3060,13.0,2022,2,Good,123606,28996
MSI,Ryzen 9,8,256,SSD,GTX 1650,15.6,2020,4,Fair,96895,13452
MSI,i9,64,512,SSD,Integrated,14.0,2019,5,Fair,139498,15063
HP,M1,64,512,SSD,M2 GPU,14.0,2022,2,Good,160192,39709
HP,Ryzen 5,64,256,HDD,RTX 3060,16.0,2023,1,Fair,134600,27171
Acer,i9,8,1024,SSD,M2 GPU,17.0,2022,2,Good,122632,29895
Acer,i3,8,1024,HDD,RTX 3050,17.0,2022,2,Good,69408,16145
Asus,i7,64,512,HDD,M1 GPU,16.0,2019,5,Good,150611,21880
Lenovo,i3,64,256,HDD,GTX 1650,13.0,2023,1,Excellent,99999,37855
Acer,i5,16,256,HDD,RTX 3060,17.0,2020,4,Poor,95487,8000
Dell,Ryzen 7,16,2048,SSD,M2 GPU,13.0,2023,1,Good,117487,34970
Asus,i3,32,256,HDD,M1 GPU,17.0,2022,2,Excellent,85104,27595
Asus,i3,16,512,SSD,RTX 3060,14.0,2020,4,Good,96715,16244
Apple,M2,8,512,HDD,GTX 1650,13.0,2019,5,Good,102414,19329
Asus,i3,16,256,SSD,M2 GPU,15.6,2018,6,Excellent,83598,10360
MSI,Ryzen 9,64,1024,HDD,RTX 3050,13.0,2023,1,Poor,167386,24678
Dell,i3,32,2048,SSD,M2 GPU,14.0,2018,6,Good,125091,12572
Asus,M1,16,2048,SSD,RTX 3060,16.0,2023,1,Good,134675,43584
Acer,Ryzen 5,8,1024,HDD,GTX 1650,14.0,2018,6,Good,65761,8000
Asus,i9,16,1024,HDD,RTX 3060,13.0,2019,5,Good,129631,16619
Asus,i3,8,2048,SSD,RTX 3060,17.0,2020,4,Excellent,97609,22741
Apple,i7,8,1024,HDD,Integrated,13.0,2019,5,Good,78799,12980
Acer,i3,32,2048,HDD,GTX 1650,17.0,2018,6,Poor,84293,8000
Dell,Ryzen 7,32,2048,SSD,RTX 3050,14.0,2023,1,Good,145886,41856
HP,i3,8,2048,HDD,RTX 4070,17.0,2021,3,Poor,113788,10173
MSI,Ryzen 7,32,1024,SSD,RTX 3060,16.0,2022,2,Fair,135429,30233
Acer,M2,16,1024,HDD,M2 GPU,16.0,2022,2,Excellent,139712,40753
MSI,i3,32,256,SSD,M1 GPU,17.0,2020,4,Poor,90050,8406
MSI,M1,16,256,HDD,GTX 1650,14.0,2018,6,Fair,91662,8000
HP,M2,64,256,SSD,RTX 4070,17.0,2023,1,Good,200869,58079
Acer,Ryzen 7,64,512,SSD,Integrated,13.0,2018,6,Good,116208,11115
MSI,Ryzen 7,64,256,HDD,RTX 3050,14.0,2020,4,Poor,139392,13775
MSI,i5,8,512,SSD,GTX 1650,14.0,2019,5,Good,69889,10116
Apple,M1,32,1024,SSD,M2 GPU,13.0,2021,3,Fair,151634,30949
Asus,Ryzen 5,64,1024,HDD,RTX 4070,15.6,2021,3,Poor,158091,16303
MSI,Ryzen 5,64,2048,HDD,RTX 3050,17.0,2022,2,Good,135323,41164
HP,Ryzen 7,16,256,SSD,GTX 1650,15.6,2020,4,Excellent,84076,18616
HP,Ryzen 7,8,512,SSD,M1 GPU,17.0,2021,3,Good,78645,17879
Acer,i5,8,2048,HDD,RTX 3060,15.6,2022,2,Good,101068,24702
Asus,i3,32,512,HDD,RTX 3050,13.0,2023,1,Good,98166,28724
Acer,Ryzen 9,16,512,SSD,M1 GPU,16.0,2019,5,Excellent,116318,18562
Acer,M2,64,512,SSD,RTX 3050,14.0,2023,1,Poor,183332,24960
HP,M2,32,256,SSD,Integrated,17.0,2021,3,Good,133615,29313
Acer,i9,16,1024,SSD,RTX 3050,14.0,2018,6,Good,140470,12951
Lenovo,i3,8,1024,SSD,RTX 4070,15.6,2022,2,Good,100307,25884
Dell,M2,32,512,SSD,M2 GPU,15.6,2022,2,Poor,140629,15885
Apple,i3,16,2048,HDD,M2 GPU,15.6,2018,6,Good,91528,10320
Apple,i9,8,2048,SSD,Integrated,14.0,2021,3,Good,122058,33998
Apple,i5,16,2048,SSD,M2 GPU,16.0,2018,6,Good,124701,15812
Acer,i5,16,1024,SSD,RTX 3060,13.0,2023,1,Good,100691,30404
Asus,M2,32,1024,SSD,M1 GPU,14.0,2018,6,Good,151626,14428
Dell,M1,32,1024,SSD,GTX 1650,14.0,2020,4,Good,138867,23303
MSI,i9,16,1024,SSD,RTX 4070,13.0,2021,3,Good,164396,40966
Dell,Ryzen 9,32,2048,HDD,M2 GPU,17.0,2021,3,Excellent,138173,40961
Lenovo,Ryzen 7,32,512,SSD,RTX 3060,13.0,2021,3,Good,131400,27317
HP,Ryzen 5,16,256,SSD,M1 GPU,13.0,2023,1,Good,69441,22017
HP,Ryzen 7,64,1024,SSD,GTX 1650,13.0,2019,5,Poor,145813,9140
Asus,Ryzen 9,32,512,SSD,RTX 4070,16.0,2022,2,Fair,178466,31211
HP,Ryzen 9,32,256,SSD,RTX 3060,15.6,2019,5,Fair,129224,11338
Dell,i5,32,512,SSD,GTX 1650,14.0,2020,4,Good,101970,19597
Asus,i7,32,256,SSD,M2 GPU,16.0,2019,5,Fair,131492,13927
Acer,Ryzen 5,8,2048,HDD,Integrated,16.0,2022,2,Good,66838,17250
Lenovo,Ryzen 7,64,256,SSD,GTX 1650,14.0,2019,5,Good,136437,20334
Lenovo,Ryzen 5,64,1024,SSD,RTX 3060,14.0,2022,2,Fair,151483,29204
Lenovo,i7,64,512,HDD,M1 GPU,14.0,2021,3,Good,139096,34889
Asus,i9,16,256,HDD,M2 GPU,14.0,2018,6,Good,113800,11956
Lenovo,M2,16,512,HDD,M2 GPU,15.6,2021,3,Fair,124112,22438
HP,i7,64,1024,SSD,GTX 1650,13.0,2018,6,Good,143800,13124
Lenovo,i9,16,1024,SSD,Integrated,17.0,2023,1,Good,104102,33181
Dell,i3,64,1024,HDD,Integrated,17.0,2020,4,Poor,105855,8506
Asus,M2,16,2048,SSD,GTX 1650,15.6,2018,6,Excellent,146294,18223
MSI,M2,32,512,HDD,GTX 1650,13.0,2019,5,Poor,143624,9289
HP,M1,32,256,SSD,RTX 3050,14.0,2018,6,Fair,133872,9741
HP,Ryzen 7,32,512,SSD,Integrated,16.0,2019,5,Good,99187,12454
Acer,i3,16,512,SSD,M2 GPU,17.0,2020,4,Good,82088,13221
Asus,i9,64,512,SSD,GTX 1650,14.0,2019,5,Good,167179,24392
Dell,i3,16,256,SSD,RTX 3050,16.0,2018,6,Fair,75412,8000
Dell,M1,8,2048,HDD,M1 GPU,13.0,2018,6,Excellent,104848,14635
Dell,i7,64,1024,SSD,GTX 1650,13.0,2018,6,Good,147909,15953
Apple,i9,16,1024,HDD,GTX 1650,16.0,2018,6,Poor,101499,8000
Lenovo,Ryzen 9,64,512,SSD,M1 GPU,14.0,2018,6,Fair,156191,10762
Acer,M2,64,256,SSD,RTX 3050,15.6,2023,1,Fair,167838,32135
Acer,M2,32,256,SSD,RTX 4070,17.0,2019,5,Poor,185982,10129
Dell,i9,64,512,SSD,M2 GPU,13.0,2022,2,Excellent,163837,58009
Asus,i7,32,256,SSD,RTX 3050,16.0,2022,2,Fair,108307,22754
Asus,Ryzen 7,32,512,SSD,RTX 3060,13.0,2021,3,Fair,126015,20242
Acer,Ryzen 5,8,256,SSD,RTX 4070,15.6,2019,5,Good,104398,13114
Asus,M2,8,1024,SSD,M1 GPU,16.0,2022,2,Excellent,131291,43396
Acer,i5,8,1024,SSD,GTX 1650,15.6,2018,6,Excellent,85238,9396
MSI,Ryzen 5,32,2048,SSD,RTX 3050,14.0,2023,1,Good,130778,45424
Apple,Ryzen 9,16,512,SSD,RTX 3050,16.0,2020,4,Poor,123036,11965
Dell,Ryzen 9,16,2048,SSD,RTX 3060,13.0,2022,2,Good,147028,42855
Lenovo,i3,64,2048,HDD,M2 GPU,17.0,2021,3,Good,133018,30246
Apple,i3,64,1024,SSD,GTX 1650,14.0,2018,6,Excellent,124002,18317
Apple,i3,32,1024,SSD,RTX 4070,13.0,2018,6,Poor,120635,8000
Dell,i5,32,256,SSD,RTX 3050,17.0,2018,6,Good,96071,8878
Asus,M2,16,1024,SSD,RTX 3050,13.0,2022,2,Good,156168,40341
Asus,Ryzen 7,32,512,SSD,M1 GPU,13.0,2018,6,Poor,99882,8000
Acer,i3,64,1024,HDD,M2 GPU,13.0,2018,6,Excellent,138265,16883
Dell,i3,8,2048,SSD,GTX 1650,13.0,2022,2,Good,84094,21195
Apple,i7,32,256,SSD,Integrated,14.0,2018,6,Poor,102012,8000
MSI,M1,32,512,SSD,M2 GPU,16.0,2019,5,Good,127243,19609
Dell,M1,32,2048,SSD,RTX 4070,13.0,2018,6,Good,170376,18577
Apple,Ryzen 9,16,2048,SSD,Integrated,16.0,2022,2,Poor,122848,19680
HP,i9,16,2048,HDD,Integrated,15.6,2021,3,Good,105178,22481
HP,i7,16,256,SSD,Integrated,17.0,2019,5,Excellent,76151,11819
MSI,Ryzen 7,32,256,HDD,RTX 4070,16.0,2019,5,Good,147662,24445
Lenovo,i9,16,256,SSD,M1 GPU,13.0,2021,3,Poor,108983,11569
MSI,i7,16,512,SSD,Integrated,17.0,2022,2,Good,86950,24083
HP,M1,16,1024,SSD,M2 GPU,13.0,2022,2,Poor,137010,14229
Acer,Ryzen 7,16,1024,HDD,M1 GPU,13.0,2019,5,Good,88283,10642
Apple,i9,8,2048,SSD,M1 GPU,13.0,2018,6,Good,124744,15906
HP,i3,8,2048,SSD,M2 GPU,17.0,2020,4,Poor,107003,8992
Acer,M1,32,512,HDD,RTX 4070,15.6,2019,5,Good,163882,22644
Asus,M2,32,2048,HDD,M2 GPU,13.0,2023,1,Excellent,153059,64173
Acer,Ryzen 7,32,2048,SSD,RTX 3060,13.0,2022,2,Good,163042,42382
Asus,M2,32,1024,SSD,M1 GPU,14.0,2021,3,Good,142154,29082
Lenovo,i9,8,256,SSD,M1 GPU,15.6,2022,2,Excellent,110581,36913
Asus,Ryzen 9,32,512,HDD,RTX 4070,13.0,2019,5,Good,155384,22638
Dell,Ryzen 9,16,2048,SSD,RTX 3060,14.0,2019,5,Excellent,142212,27499
Lenovo,i3,8,2048,HDD,RTX 4070,17.0,2018,6,Excellent,107987,14091
Asus,Ryzen 5,8,512,SSD,Integrated,15.6,2022,2,Fair,60236,11172
Asus,M1,32,512,SSD,GTX 1650,14.0,2018,6,Excellent,131152,14748
Lenovo,i7,32,2048,SSD,RTX 3050,17.0,2023,1,Fair,151720,33406
Acer,M1,8,256,SSD,Integrated,15.6,2020,4,Poor,83524,8000
Lenovo,i9,8,2048,HDD,RTX 4070,17.0,2023,1,Good,154341,44177
Apple,i7,32,512,HDD,RTX 3050,13.0,2022,2,Good,111013,35485
HP,Ryzen 5,32,1024,SSD,GTX 1650,17.0,2022,2,Good,109710,29886
Acer,i5,64,512,SSD,RTX 3050,13.0,2020,4,Good,138161,21273
Dell,i5,64,1024,SSD,RTX 4070,14.0,2020,4,Good,182944,31713
Apple,Ryzen 5,64,512,HDD,RTX 3050,14.0,2018,6,Excellent,127574,18058
HP,i3,64,256,SSD,RTX 3060,13.0,2021,3,Good,133515,29155
Dell,i5,16,512,SSD,M2 GPU,17.0,2020,4,Good,98010,18674
Acer,Ryzen 9,32,256,SSD,M2 GPU,17.0,2023,1,Good,129171,35058
MSI,i7,8,1024,HDD,RTX 4070,17.0,2019,5,Excellent,122896,25914
Apple,M1,32,512,SSD,M1 GPU,17.0,2022,2,Good,129472,41248
Dell,i9,16,1024,HDD,Integrated,15.6,2021,3,Excellent,110911,30576
Acer,i3,64,1024,SSD,Integrated,14.0,2022,2,Good,110822,29504
Apple,i5,64,1024,SSD,Integrated,13.0,2020,4,Good,115084,24909
Asus,i5,8,1024,HDD,RTX 3050,14.0,2018,6,Fair,79647,8000
Lenovo,i7,32,256,SSD,RTX 3060,13.0,2021,3,Good,123819,30463
MSI,i3,32,256,HDD,Integrated,13.0,2023,1,Fair,64890,14811
MSI,i7,16,2048,SSD,RTX 4070,16.0,2018,6,Good,151781,17311
Lenovo,Ryzen 5,16,512,SSD,RTX 4070,13.0,2020,4,Excellent,108963,24224
Asus,M1,64,256,SSD,RTX 3060,14.0,2019,5,Good,162819,20348
Lenovo,Ryzen 9,8,2048,HDD,GTX 1650,17.0,2019,5,Good,103650,14491
Acer,Ryzen 7,16,1024,SSD,RTX 3060,15.6,2022,2,Good,124549,29556
MSI,Ryzen 5,64,512,SSD,Integrated,15.6,2020,4,Good,112666,24129
Asus,Ryzen 7,8,2048,SSD,RTX 3060,15.6,2019,5,Fair,120613,12787
MSI,i3,32,256,SSD,Integrated,16.0,2020,4,Fair,73402,10542
MSI,i3,8,2048,HDD,GTX 1650,17.0,2020,4,Excellent,66866,16820
MSI,Ryzen 7,64,1024,HDD,RTX 3060,15.6,2018,6,Good,142779,14145
Apple,i9,8,1024,SSD,M2 GPU,13.0,2020,4,Good,129251,28740
MSI,Ryzen 7,8,256,SSD,Integrated,16.0,2022,2,Fair,68674,15876
Asus,i5,64,1024,SSD,M2 GPU,15.6,2023,1,Good,150894,49061
Acer,Ryzen 9,64,256,SSD,M2 GPU,16.0,2022,2,Excellent,155518,49794
Asus,i7,16,256,HDD,RTX 3050,17.0,2023,1,Excellent,88119,37034
Dell,M2,8,256,SSD,RTX 4070,17.0,2022,2,Good,159714,41743
HP,i7,8,512,SSD,M2 GPU,13.0,2023,1,Good,95514,26710
Dell,i5,16,1024,SSD,RTX 3060,13.0,2019,5,Fair,98535,10631
Asus,i3,16,2048,SSD,RTX 3060,16.0,2022,2,Good,103787,24906
Acer,i9,8,256,SSD,RTX 3060,14.0,2023,1,Good,124872,37817
HP,Ryzen 9,32,2048,HDD,RTX 4070,13.0,2021,3,Good,177285,33778
Asus,M1,32,512,SSD,RTX 3060,14.0,2020,4,Excellent,132877,32265
Acer,i7,16,2048,HDD,GTX 1650,15.6,2021,3,Good,89234,19829
HP,i7,64,256,SSD,M2 GPU,15.6,2018,6,Excellent,164328,17884
Dell,M2,64,1024,SSD,RTX 4070,16.0,2018,6,Excellent,213767,28011
Acer,Ryzen 9,32,2048,SSD,M1 GPU,15.6,2022,2,Excellent,168342,51747
Dell,i3,64,512,SSD,RTX 3050,14.0,2018,6,Good,132911,14191
Acer,i5,64,1024,SSD,GTX 1650,17.0,2018,6,Excellent,129972,13929
Apple,M2,64,2048,SSD,Integrated,14.0,2021,3,Good,176317,46973
Asus,Ryzen 7,16,1024,SSD,RTX 3050,16.0,2019,5,Good,100388,14149
Lenovo,M2,64,1024,HDD,M2 GPU,14.0,2020,4,Excellent,182332,44232
HP,Ryzen 7,32,512,SSD,M1 GPU,16.0,2020,4,Good,115286,21076
Acer,M2,64,512,HDD,RTX 4070,15.6,2018,6,Good,187493,15433
Lenovo,M2,8,2048,SSD,Integrated,16.0,2019,5,Good,131589,19911
Acer,Ryzen 5,32,2048,SSD,RTX 4070,15.6,2019,5,Good,167711,20983
HP,Ryzen 7,16,256,HDD,M1 GPU,15.6,2020,4,Good,84366,14576
Asus,i9,64,1024,HDD,RTX 3050,16.0,2020,4,Good,177208,31305
Lenovo,Ryzen 5,32,512,SSD,Integrated,13.0,2018,6,Good,79971,8000
Lenovo,i7,8,1024,SSD,RTX 3060,14.0,2019,5,Good,113689,16706
Acer,i3,64,256,HDD,RTX 4070,13.0,2018,6,Good,135504,11717
Apple,i3,64,1024,SSD,RTX 4070,14.0,2021,3,Fair,160538,32187
Asus,i5,16,512,SSD,RTX 4070,17.0,2020,4,Excellent,123369,30729
Asus,Ryzen 5,16,512,SSD,Integrated,13.0,2019,5,Fair,70949,8000
Asus,i3,64,2048,SSD,RTX 3050,14.0,2021,3,Poor,157843,16878
HP,Ryzen 9,8,1024,SSD,GTX 1650,15.6,2018,6,Excellent,105938,12680
Acer,i9,32,2048,SSD,Integrated,17.0,2022,2,Good,132797,30606
Acer,Ryzen 5,16,2048,SSD,RTX 3050,13.0,2019,5,Excellent,113901,18171
Acer,Ryzen 5,32,256,SSD,RTX 3050,15.6,2021,3,Fair,103700,16063
HP,i9,64,256,HDD,Integrated,13.0,2022,2,Excellent,133440,44795
MSI,i7,32,512,SSD,RTX 3060,17.0,2018,6,Good,135096,13421
MSI,M2,64,2048,SSD,M2 GPU,13.0,2018,6,Excellent,215591,27956
MSI,i7,32,512,SSD,RTX 3050,17.0,2021,3,Good,129679,34493
Asus,i9,16,2048,SSD,RTX 4070,17.0,2022,2,Fair,189975,39703
Acer,i5,16,256,SSD,GTX 1650,13.0,2023,1,Good,78130,19916
Apple,Ryzen 7,16,1024,SSD,M2 GPU,15.6,2020,4,Poor,114608,12252
HP,i5,32,512,HDD,RTX 3050,13.0,2020,4,Excellent,93437,18796
Dell,M1,64,256,SSD,M1 GPU,17.0,2020,4,Fair,158279,21650
MSI,Ryzen 7,8,512,SSD,GTX 1650,14.0,2022,2,Poor,80391,10662
HP,Ryzen 5,8,512,HDD,RTX 3060,17.0,2020,4,Excellent,75142,17657
MSI,Ryzen 7,64,2048,SSD,RTX 3060,17.0,2023,1,Fair,197735,48621
Dell,Ryzen 7,32,1024,HDD,RTX 4070,15.6,2018,6,Fair,157291,11134
Acer,Ryzen 5,8,2048,HDD,M1 GPU,13.0,2021,3,Good,82589,15387
Asus,i9,32,512,SSD,GTX 1650,15.6,2019,5,Excellent,127091,21194
Lenovo,Ryzen 9,64,1024,SSD,RTX 4070,15.6,2021,3,Good,218516,51704
Apple,M2,64,1024,HDD,RTX 4070,15.6,2020,4,Fair,219057,37939
Acer,M1,32,256,HDD,M2 GPU,17.0,2022,2,Fair,123796,23339
Acer,Ryzen 9,8,2048,HDD,RTX 4070,17.0,2019,5,Good,145281,18346
Lenovo,i7,32,1024,SSD,RTX 3060,16.0,2020,4,Excellent,145195,34846
Acer,Ryzen 7,32,512,SSD,RTX 3050,15.6,2022,2,Fair,103536,16540
Acer,Ryzen 5,64,256,HDD,RTX 3060,17.0,2020,4,Fair,132929,16579
MSI,Ryzen 5,8,256,SSD,GTX 1650,17.0,2021,3,Good,66420,17540
Acer,i3,64,512,SSD,Integrated,15.6,2022,2,Excellent,116522,36981
Lenovo,M1,8,2048,SSD,M2 GPU,17.0,2018,6,Good,135882,14835
Asus,Ryzen 9,32,1024,SSD,RTX 3050,13.0,2021,3,Good,136763,28333
Lenovo,Ryzen 7,8,512,SSD,M2 GPU,17.0,2023,1,Excellent,95808,37744
Apple,Ryzen 5,32,2048,SSD,M1 GPU,14.0,2021,3,Fair,110991,24543
Asus,i3,64,512,HDD,RTX 4070,13.0,2018,6,Good,146409,13662
Acer,Ryzen 7,8,1024,HDD,RTX 4070,13.0,2022,2,Poor,115671,13825
Lenovo,i5,32,2048,HDD,M2 GPU,17.0,2021,3,Poor,108350,12222
Apple,Ryzen 5,8,1024,SSD,M2 GPU,17.0,2022,2,Good,89660,27119
Dell,i9,8,1024,SSD,Integrated,17.0,2020,4,Fair,105186,14338
MSI,i9,8,2048,HDD,Integrated,16.0,2022,2,Fair,92551,20068
Apple,Ryzen 7,64,2048,HDD,M2 GPU,16.0,2022,2,Poor,143385,20011
Acer,i3,8,1024,SSD,RTX 3060,14.0,2021,3,Fair,93842,13015
MSI,M2,8,256,HDD,RTX 3050,15.6,2022,2,Fair,129515,27275
Dell,M2,16,512,SSD,GTX 1650,15.6,2019,5,Good,113332,15146
Asus,M2,64,2048,SSD,RTX 3050,15.6,2018,6,Excellent,189763,24859
MSI,Ryzen 9,16,256,HDD,M2 GPU,15.6,2020,4,Fair,109158,16215
Asus,Ryzen 5,8,256,SSD,Integrated,15.6,2019,5,Fair,53968,8000
Apple,M2,64,512,SSD,Integrated,13.0,2019,5,Good,174230,33185
Dell,i5,16,1024,SSD,M1 GPU,16.0,2019,5,Excellent,84597,14353
Dell,M2,32,1024,SSD,RTX 3060,14.0,2022,2,Good,162807,43619
Acer,Ryzen 7,8,256,SSD,RTX 4070,15.6,2020,4,Poor,118303,8928
Lenovo,M1,8,2048,SSD,RTX 4070,13.0,2018,6,Good,159884,17371
Dell,Ryzen 5,32,2048,SSD,RTX 3060,16.0,2023,1,Good,125449,39300
Apple,Ryzen 9,16,2048,HDD,GTX 1650,15.6,2020,4,Excellent,111013,32313
Acer,i7,16,256,SSD,M2 GPU,14.0,2023,1,Good,95835,26969
MSI,i5,32,1024,SSD,M2 GPU,14.0,2020,4,Good,122954,22862
Apple,i3,16,512,SSD,RTX 3060,17.0,2019,5,Excellent,89422,21195
HP,Ryzen 7,8,512,HDD,RTX 3060,16.0,2021,3,Poor,97409,9965
Acer,M2,8,512,HDD,RTX 4070,15.6,2023,1,Fair,137947,29886
Apple,i5,16,2048,SSD,GTX 1650,15.6,2018,6,Good,93351,12422
Apple,i3,64,256,HDD,RTX 3060,13.0,2023,1,Fair,140045,38678
Apple,M1,64,512,SSD,RTX 4070,15.6,2019,5,Good,182479,31383
MSI,i5,8,1024,SSD,RTX 4070,16.0,2020,4,Good,117066,21345
Lenovo,M2,64,2048,SSD,RTX 3050,13.0,2020,4,Excellent,210519,47332
Acer,Ryzen 7,16,1024,SSD,M2 GPU,13.0,2023,1,Excellent,111818,41319
Apple,M2,64,512,SSD,RTX 4070,13.0,2022,2,Good,196192,61278
Asus,Ryzen 9,32,512,SSD,M2 GPU,17.0,2019,5,Good,129109,18866
MSI,i9,64,512,SSD,RTX 4070,15.6,2022,2,Excellent,186528,64094
HP,Ryzen 5,64,256,SSD,GTX 1650,16.0,2021,3,Excellent,117685,31676
Dell,i7,64,2048,SSD,M2 GPU,14.0,2023,1,Fair,187756,42227
Asus,M2,64,512,SSD,RTX 4070,15.6,2023,1,Good,205481,65278
Asus,i9,32,2048,SSD,M2 GPU,17.0,2023,1,Poor,162290,23406
Acer,Ryzen 7,64,256,SSD,RTX 3050,16.0,2020,4,Fair,128936,16073
MSI,Ryzen 5,64,512,HDD,Integrated,16.0,2022,2,Good,116709,36719
Apple,i5,8,1024,SSD,M1 GPU,13.0,2022,2,Good,76629,25607
Dell,M2,64,2048,SSD,M2 GPU,17.0,2020,4,Excellent,215555,50533
Lenovo,M1,16,512,HDD,RTX 3050,17.0,2020,4,Good,107954,20620
MSI,i5,8,1024,HDD,RTX 3050,15.6,2020,4,Poor,83636,8000
Acer,i3,8,512,HDD,Integrated,16.0,2019,5,Excellent,41466,8000
Apple,M1,64,2048,SSD,RTX 3050,16.0,2021,3,Good,172609,49370
MSI,Ryzen 5,32,2048,SSD,RTX 4070,15.6,2021,3,Good,163969,41426
Acer,M1,64,256,SSD,GTX 1650,14.0,2023,1,Excellent,157028,59813
Dell,M2,8,2048,SSD,RTX 4070,15.6,2021,3,Excellent,180974,53914
Dell,Ryzen 7,32,256,SSD,M1 GPU,13.0,2023,1,Good,116177,34556
HP,Ryzen 7,32,512,SSD,M1 GPU,16.0,2022,2,Good,114104,30081
Apple,M2,32,512,HDD,RTX 4070,15.6,2023,1,Poor,186388,33177
Dell,Ryzen 9,64,512,SSD,RTX 4070,17.0,2021,3,Good,178348,38474
HP,Ryzen 9,16,2048,SSD,RTX 3050,13.0,2020,4,Good,129033,22857
Asus,M2,32,2048,SSD,RTX 3050,13.0,2021,3,Good,177357,36024
Apple,i3,8,2048,SSD,M1 GPU,17.0,2021,3,Fair,85723,18516
HP,i7,64,2048,HDD,Integrated,15.6,2018,6,Good,139871,13075
Apple,Ryzen 5,8,256,HDD,RTX 4070,16.0,2019,5,Excellent,92310,19647
Dell,M2,32,512,SSD,Integrated,13.0,2021,3,Excellent,121201,37133
Acer,i3,8,1024,SSD,RTX 4070,15.6,2023,1,Fair,100362,18600
MSI,i7,32,1024,SSD,RTX 3060,16.0,2020,4,Good,138486,28081
Acer,Ryzen 9,64,256,SSD,RTX 3060,14.0,2019,5,Fair,168290,15474
Asus,i5,64,512,HDD,RTX 4070,16.0,2019,5,Excellent,177702,30906
HP,i5,64,2048,SSD,M1 GPU,14.0,2022,2,Poor,158225,18098
HP,Ryzen 9,32,512,HDD,M2 GPU,13.0,2022,2,Good,144696,34258
MSI,i7,32,1024,HDD,M2 GPU,16.0,2023,1,Good,116933,35897
Dell,i5,8,1024,SSD,RTX 3050,15.6,2019,5,Fair,94058,10217
Dell,Ryzen 9,16,2048,HDD,RTX 3050,13.0,2019,5,Good,128747,19714
Apple,i7,8,2048,SSD,GTX 1650,17.0,2023,1,Fair,112231,29201
Apple,M2,32,2048,HDD,RTX 3060,14.0,2023,1,Good,173577,70114
Acer,i5,64,256,HDD,M1 GPU,17.0,2018,6,Poor,130956,8000
MSI,i7,64,256,SSD,M1 GPU,16.0,2020,4,Good,147115,27983
Asus,i3,32,256,HDD,M1 GPU,17.0,2020,4,Good,82093,15412
Apple,i3,8,2048,HDD,M2 GPU,16.0,2019,5,Good,84425,15337
HP,i5,64,2048,SSD,GTX 1650,17.0,2019,5,Fair,151346,14270
MSI,M2,8,256,HDD,M2 GPU,13.0,2019,5,Excellent,124429,24368
Asus,Ryzen 5,8,256,SSD,GTX 1650,13.0,2023,1,Fair,65765,14200
